season,State,District,pattern,source_loss_ha,target_gain_ha,co_occurring_area_ha,baseline_rice_ha,baseline_wheat_ha
rabi,west bengal,birbhum,rice_loss_wheat_gain,88290.0,89101.0,88290.0,88290.0,35116.0
rabi,west bengal,dakshin dinajpur,rice_loss_wheat_gain,24420.0,24420.0,24420.0,24420.0,0.0
rabi,west bengal,hooghly,wheat_loss_rice_gain,463.0,798.0,463.0,64751.0,463.0
rabi,west bengal,howrah,wheat_loss_rice_gain,163.0,282.0,163.0,34480.0,163.0
rabi,west bengal,jalpaiguri,rice_loss_wheat_gain,17870.0,22249.0,17870.0,17870.0,7594.0
rabi,west bengal,jhargram,rice_loss_wheat_gain,14492.0,14492.0,14492.0,14492.0,84.0
rabi,west bengal,medinipur east,wheat_loss_rice_gain,5.0,125.0,5.0,137845.0,5.0
rabi,west bengal,medinipur west,rice_loss_wheat_gain,164929.0750215561,165877.0750215561,164929.0750215561,190540.0,180.0
rabi,west bengal,murshidabad,wheat_loss_rice_gain,62.0,11121.0,62.0,116315.0,62.0
rabi,west bengal,nadia,rice_loss_wheat_gain,94808.0,99908.0,94808.0,94808.0,0.0
rabi,west bengal,paraganas north,wheat_loss_rice_gain,102.0,327.0,102.0,63492.0,102.0
rabi,west bengal,paraganas south,wheat_loss_rice_gain,1582.0,1637.0,1582.0,79312.0,1582.0
rabi,west bengal,uttar dinajpur,rice_loss_wheat_gain,46180.0,46180.0,46180.0,46180.0,0.0
