source_state,target_state,baseline_alt_trade_kcal,staple_deficit_kcal,quantity_kcal,is_new_link,pre_scale_trade_kcal,State,scale_factor,optimized_alt_prod_kcal,pre_scale_alt_trade_kcal,optimized_alt_trade_kcal,capacity_limited,optimized_trade_kcal
maharashtra,jharkhand,0.0,3992168140.2792983,0.0,True,3992168140.2792983,maharashtra,1.0,30339952650147.773,966577489308.4631,966577489308.4631,False,3992168140.2792983
assam,tripura,0.0,3867295453.2773094,0.0,True,3867295453.2773094,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,3867295453.2773094
uttarakhand,chandigarh,0.0,3691434301.626095,0.0,True,3691434301.626095,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,3691434301.626095
gujarat,andhra pradesh,0.0,3486550820.0520205,0.0,True,3486550820.0520205,gujarat,1.0,17487759072427.385,115134758030.7743,115134758030.7743,False,3486550820.0520205
chhattisgarh,andhra pradesh,0.0,3435077064.309082,0.0,True,3435077064.309082,chhattisgarh,1.0,1085685272486.0793,38209645160.215515,38209645160.215515,False,3435077064.309082
chhattisgarh,jharkhand,0.0,3153100680.1816406,0.0,True,3153100680.1816406,chhattisgarh,1.0,1085685272486.0793,38209645160.215515,38209645160.215515,False,3153100680.1816406
tamil nadu,uttar pradesh,0.0,3075488008.1743193,0.0,True,3075488008.1743193,tamil nadu,1.0,43285307064698.8,160162448344.8518,160162448344.8518,False,3075488008.1743193
tamil nadu,assam,0.0,2845675000.0,0.0,True,2845675000.0,tamil nadu,1.0,43285307064698.8,160162448344.8518,160162448344.8518,False,2845675000.0
uttarakhand,tamil nadu,0.0,2629084858.849757,0.0,True,2629084858.849757,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,2629084858.849757
assam,manipur,0.0,2564236528.8480387,0.0,True,2564236528.8480387,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,2564236528.8480387
andhra pradesh,nagaland,0.0,2486917598.6578436,0.0,True,2486917598.6578436,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,2486917598.6578436
uttar pradesh,tripura,0.0,2246469754.774807,0.0,True,2246469754.774807,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,2246469754.774807
gujarat,jammu and kashmir,0.0,2182695400.1136913,0.0,True,2182695400.1136913,gujarat,1.0,17487759072427.385,115134758030.7743,115134758030.7743,False,2182695400.1136913
rajasthan,west bengal,0.0,2017392739.2590294,0.0,True,2017392739.2590294,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,2017392739.2590294
gujarat,west bengal,0.0,1991925683.3241398,0.0,True,1991925683.3241398,gujarat,1.0,17487759072427.385,115134758030.7743,115134758030.7743,False,1991925683.3241398
chhattisgarh,bihar,0.0,1948643068.7324219,0.0,True,1948643068.7324219,chhattisgarh,1.0,1085685272486.0793,38209645160.215515,38209645160.215515,False,1948643068.7324219
uttar pradesh,goa,0.0,1846961516.3249054,0.0,True,1846961516.3249054,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,1846961516.3249054
assam,nagaland,0.0,1831678920.4274726,0.0,True,1831678920.4274726,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,1831678920.4274726
chhattisgarh,maharashtra,0.0,1798078259.6157227,0.0,True,1798078259.6157227,chhattisgarh,1.0,1085685272486.0793,38209645160.215515,38209645160.215515,False,1798078259.6157227
karnataka,telangana,0.0,1795424669.747069,0.0,True,1795424669.747069,karnataka,1.0,40410044967093.05,498033281436.85516,498033281436.85516,False,1795424669.747069
bihar,madhya pradesh,0.0,1707854947.1364923,0.0,True,1707854947.1364923,bihar,1.0,21375279179266.508,1492600558965.3389,1492600558965.3389,False,1707854947.1364923
nagaland,rajasthan,0.0,1704174760.159195,0.0,True,1704174760.159195,nagaland,1.0,87733877465.79893,2910124920.3520203,2910124920.3520203,False,1704174760.159195
rajasthan,goa,0.0,1654386341.365387,0.0,True,1654386341.365387,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,1654386341.365387
uttarakhand,kerala,0.0,1603121946.9101582,0.0,True,1603121946.9101582,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,1603121946.9101582
odisha,karnataka,0.0,1530088303.804718,0.0,True,1530088303.804718,odisha,1.0,1140053029414.3657,164716280543.2689,164716280543.2689,False,1530088303.804718
rajasthan,kerala,0.0,1478409000.934513,0.0,True,1478409000.934513,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,1478409000.934513
telangana,bihar,0.0,1461711193.1905289,0.0,True,1461711193.1905289,telangana,1.0,11852609660379.26,302601080094.03125,302601080094.03125,False,1461711193.1905289
gujarat,kerala,0.0,1272297836.139351,0.0,True,1272297836.139351,gujarat,1.0,17487759072427.385,115134758030.7743,115134758030.7743,False,1272297836.139351
nagaland,odisha,0.0,1205950160.1928253,0.0,True,1205950160.1928253,nagaland,1.0,87733877465.79893,2910124920.3520203,2910124920.3520203,False,1205950160.1928253
telangana,uttar pradesh,0.0,1189897333.3333335,0.0,True,1189897333.3333335,telangana,1.0,11852609660379.26,302601080094.03125,302601080094.03125,False,1189897333.3333335
gujarat,rajasthan,0.0,1136347865.078192,0.0,True,1136347865.078192,gujarat,1.0,17487759072427.385,115134758030.7743,115134758030.7743,False,1136347865.078192
assam,uttar pradesh,0.0,1114599981.6400356,0.0,True,1114599981.6400356,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,1114599981.6400356
maharashtra,uttar pradesh,0.0,1112856901.5061352,0.0,True,1112856901.5061352,maharashtra,1.0,30339952650147.773,966577489308.4631,966577489308.4631,False,1112856901.5061352
maharashtra,chandigarh,0.0,1041379674.1816359,0.0,True,1041379674.1816359,maharashtra,1.0,30339952650147.773,966577489308.4631,966577489308.4631,False,1041379674.1816359
andhra pradesh,madhya pradesh,0.0,1027099500.0,0.0,True,1027099500.0,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,1027099500.0
haryana,maharashtra,0.0,1010230666.2141113,0.0,True,1010230666.2141113,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,1010230666.2141113
tripura,punjab,0.0,985743123.7914263,0.0,True,985743123.7914263,tripura,1.0,43616333888.960724,1530507591.5859685,1530507591.5859685,False,985743123.7914263
assam,punjab,0.0,965245151.37882,0.0,True,965245151.37882,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,965245151.37882
uttar pradesh,delhi,0.0,939868509.0719147,0.0,True,939868509.0719147,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,939868509.0719147
haryana,uttar pradesh,0.0,854274482.7519531,0.0,True,854274482.7519531,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,854274482.7519531
assam,haryana,0.0,835911515.4386554,0.0,True,835911515.4386554,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,835911515.4386554
haryana,bihar,0.0,821138998.9243164,0.0,True,821138998.9243164,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,821138998.9243164
haryana,assam,0.0,818309749.2963867,0.0,True,818309749.2963867,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,818309749.2963867
uttar pradesh,chandigarh,0.0,755615523.9836171,0.0,True,755615523.9836171,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,755615523.9836171
maharashtra,rajasthan,0.0,727150280.6541476,0.0,True,727150280.6541476,maharashtra,1.0,30339952650147.773,966577489308.4631,966577489308.4631,False,727150280.6541476
telangana,jharkhand,0.0,682589131.4332542,0.0,True,682589131.4332542,telangana,1.0,11852609660379.26,302601080094.03125,302601080094.03125,False,682589131.4332542
gujarat,telangana,0.0,660460500.83801,0.0,True,660460500.83801,gujarat,1.0,17487759072427.385,115134758030.7743,115134758030.7743,False,660460500.83801
telangana,rajasthan,0.0,658256550.0,0.0,True,658256550.0,telangana,1.0,11852609660379.26,302601080094.03125,302601080094.03125,False,658256550.0
uttarakhand,uttar pradesh,0.0,648496034.0124178,0.0,True,648496034.0124178,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,648496034.0124178
uttarakhand,madhya pradesh,0.0,642490243.1650848,0.0,True,642490243.1650848,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,642490243.1650848
chhattisgarh,karnataka,0.0,613165338.3545532,0.0,True,613165338.3545532,chhattisgarh,1.0,1085685272486.0793,38209645160.215515,38209645160.215515,False,613165338.3545532
andhra pradesh,tripura,0.0,580019805.190455,0.0,True,580019805.190455,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,580019805.190455
uttarakhand,manipur,0.0,530819029.8961668,0.0,True,530819029.8961668,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,530819029.8961668
uttarakhand,rajasthan,0.0,483675513.3140645,0.0,True,483675513.3140645,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,483675513.3140645
uttarakhand,himachal pradesh,0.0,479373212.9576001,0.0,True,479373212.9576001,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,479373212.9576001
rajasthan,jharkhand,0.0,455612164.74706936,0.0,True,455612164.74706936,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,455612164.74706936
andhra pradesh,rajasthan,0.0,427795783.3333334,0.0,True,427795783.3333334,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,427795783.3333334
uttarakhand,mizoram,0.0,426291309.9679835,0.0,True,426291309.9679835,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,426291309.9679835
rajasthan,madhya pradesh,0.0,422222494.45708656,0.0,True,422222494.45708656,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,422222494.45708656
karnataka,gujarat,0.0,382740020.9964553,0.0,True,382740020.9964553,karnataka,1.0,40410044967093.05,498033281436.85516,498033281436.85516,False,382740020.9964553
bihar,nagaland,0.0,354024933.19784933,0.0,True,354024933.19784933,bihar,1.0,21375279179266.508,1492600558965.3389,1492600558965.3389,False,354024933.19784933
tripura,uttar pradesh,0.0,352688668.69832385,0.0,True,352688668.69832385,tripura,1.0,43616333888.960724,1530507591.5859685,1530507591.5859685,False,352688668.69832385
uttarakhand,haryana,0.0,341479369.90246344,0.0,True,341479369.90246344,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,341479369.90246344
chhattisgarh,kerala,0.0,337281073.0414734,0.0,True,337281073.0414734,chhattisgarh,1.0,1085685272486.0793,38209645160.215515,38209645160.215515,False,337281073.0414734
telangana,haryana,0.0,323341666.6666666,0.0,True,323341666.6666666,telangana,1.0,11852609660379.26,302601080094.03125,302601080094.03125,False,323341666.6666666
uttarakhand,delhi,0.0,322127164.71781087,0.0,True,322127164.71781087,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,322127164.71781087
uttarakhand,maharashtra,0.0,320854653.3447721,0.0,True,320854653.3447721,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,320854653.3447721
uttarakhand,jammu and kashmir,0.0,318612609.4970372,0.0,True,318612609.4970372,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,318612609.4970372
uttarakhand,chhattisgarh,0.0,313643755.564219,0.0,True,313643755.564219,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,313643755.564219
maharashtra,chhattisgarh,0.0,311974549.7915512,0.0,True,311974549.7915512,maharashtra,1.0,30339952650147.773,966577489308.4631,966577489308.4631,False,311974549.7915512
haryana,tamil nadu,0.0,302726543.06066895,0.0,True,302726543.06066895,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,302726543.06066895
andhra pradesh,chhattisgarh,0.0,295618763.4297676,0.0,True,295618763.4297676,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,295618763.4297676
maharashtra,jammu and kashmir,0.0,275977486.3540646,0.0,True,275977486.3540646,maharashtra,1.0,30339952650147.773,966577489308.4631,966577489308.4631,False,275977486.3540646
rajasthan,delhi,0.0,261430271.85782814,0.0,True,261430271.85782814,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,261430271.85782814
rajasthan,chandigarh,0.0,259026450.1161437,0.0,True,259026450.1161437,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,259026450.1161437
uttar pradesh,jharkhand,0.0,257886623.5952015,0.0,True,257886623.5952015,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,257886623.5952015
maharashtra,nagaland,0.0,251644306.71886414,0.0,True,251644306.71886414,maharashtra,1.0,30339952650147.773,966577489308.4631,966577489308.4631,False,251644306.71886414
haryana,gujarat,0.0,227673052.3157959,0.0,True,227673052.3157959,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,227673052.3157959
telangana,nagaland,0.0,222777057.3633318,0.0,True,222777057.3633318,telangana,1.0,11852609660379.26,302601080094.03125,302601080094.03125,False,222777057.3633318
odisha,kerala,0.0,213866466.0083847,0.0,True,213866466.0083847,odisha,1.0,1140053029414.3657,164716280543.2689,164716280543.2689,False,213866466.0083847
uttar pradesh,madhya pradesh,0.0,213305305.6975522,0.0,True,213305305.6975522,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,213305305.6975522
uttar pradesh,rajasthan,0.0,192713227.96313095,0.0,True,192713227.96313095,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,192713227.96313095
tripura,haryana,0.0,192075799.09621835,0.0,True,192075799.09621835,tripura,1.0,43616333888.960724,1530507591.5859685,1530507591.5859685,False,192075799.09621835
bihar,uttar pradesh,0.0,184231744.21571326,0.0,True,184231744.21571326,bihar,1.0,21375279179266.508,1492600558965.3389,1492600558965.3389,False,184231744.21571326
uttarakhand,west bengal,0.0,175198872.16258812,0.0,True,175198872.16258812,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,175198872.16258812
odisha,himachal pradesh,0.0,172654062.94838238,0.0,True,172654062.94838238,odisha,1.0,1140053029414.3657,164716280543.2689,164716280543.2689,False,172654062.94838238
uttarakhand,punjab,0.0,161063582.35890543,0.0,True,161063582.35890543,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,161063582.35890543
uttarakhand,andhra pradesh,0.0,160881795.01989996,0.0,True,160881795.01989996,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,160881795.01989996
telangana,andhra pradesh,0.0,156621548.96064544,0.0,True,156621548.96064544,telangana,1.0,11852609660379.26,302601080094.03125,302601080094.03125,False,156621548.96064544
assam,west bengal,0.0,152514699.69084758,0.0,True,152514699.69084758,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,152514699.69084758
bihar,rajasthan,0.0,134569477.43249324,0.0,True,134569477.43249324,bihar,1.0,21375279179266.508,1492600558965.3389,1492600558965.3389,False,134569477.43249324
chhattisgarh,madhya pradesh,0.0,129946176.58892822,0.0,True,129946176.58892822,chhattisgarh,1.0,1085685272486.0793,38209645160.215515,38209645160.215515,False,129946176.58892822
uttar pradesh,himachal pradesh,0.0,114395581.40181565,0.0,True,114395581.40181565,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,114395581.40181565
assam,madhya pradesh,0.0,97418341.6820297,0.0,True,97418341.6820297,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,97418341.6820297
assam,bihar,0.0,88557252.67091683,0.0,True,88557252.67091683,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,88557252.67091683
haryana,tripura,0.0,84969124.10862732,0.0,True,84969124.10862732,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,84969124.10862732
chhattisgarh,gujarat,0.0,83888156.17176819,0.0,True,83888156.17176819,chhattisgarh,1.0,1085685272486.0793,38209645160.215515,38209645160.215515,False,83888156.17176819
haryana,kerala,0.0,82925277.45439148,0.0,True,82925277.45439148,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,82925277.45439148
haryana,chandigarh,0.0,80956597.06141663,0.0,True,80956597.06141663,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,80956597.06141663
tamil nadu,puducherry,0.0,70915133.33333334,0.0,True,70915133.33333334,tamil nadu,1.0,43285307064698.8,160162448344.8518,160162448344.8518,False,70915133.33333334
haryana,nagaland,0.0,70864681.92373657,0.0,True,70864681.92373657,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,70864681.92373657
telangana,gujarat,0.0,69495650.0,0.0,True,69495650.0,telangana,1.0,11852609660379.26,302601080094.03125,302601080094.03125,False,69495650.0
haryana,west bengal,0.0,69176397.02217102,0.0,True,69176397.02217102,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,69176397.02217102
uttar pradesh,uttarakhand,0.0,58081786.32135689,0.0,True,58081786.32135689,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,58081786.32135689
uttar pradesh,arunachal pradesh,0.0,58081786.32135689,0.0,True,58081786.32135689,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,58081786.32135689
chhattisgarh,goa,0.0,46180411.70520401,0.0,True,46180411.70520401,chhattisgarh,1.0,1085685272486.0793,38209645160.215515,38209645160.215515,False,46180411.70520401
odisha,jammu and kashmir,0.0,43561093.25223899,0.0,True,43561093.25223899,odisha,1.0,1140053029414.3657,164716280543.2689,164716280543.2689,False,43561093.25223899
haryana,jammu and kashmir,0.0,41870774.63449097,0.0,True,41870774.63449097,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,41870774.63449097
telangana,assam,0.0,38237513.32056373,0.0,True,38237513.32056373,telangana,1.0,11852609660379.26,302601080094.03125,302601080094.03125,False,38237513.32056373
chhattisgarh,punjab,0.0,29213869.272663116,0.0,True,29213869.272663116,chhattisgarh,1.0,1085685272486.0793,38209645160.215515,38209645160.215515,False,29213869.272663116
karnataka,puducherry,0.0,24403881.06745167,0.0,True,24403881.06745167,karnataka,1.0,40410044967093.05,498033281436.85516,498033281436.85516,False,24403881.06745167
haryana,goa,0.0,23643589.704704285,0.0,True,23643589.704704285,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,23643589.704704285
haryana,delhi,0.0,20808808.17786026,0.0,True,20808808.17786026,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,20808808.17786026
haryana,madhya pradesh,0.0,20665548.88500595,0.0,True,20665548.88500595,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,20665548.88500595
haryana,manipur,0.0,15067668.263053894,0.0,True,15067668.263053894,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,15067668.263053894
haryana,mizoram,0.0,13450749.081428528,0.0,True,13450749.081428528,haryana,1.0,2932610407035.19,41679612296.59115,41679612296.59115,False,13450749.081428528
chhattisgarh,odisha,0.0,13141803.541723251,0.0,True,13141803.541723251,chhattisgarh,1.0,1085685272486.0793,38209645160.215515,38209645160.215515,False,13141803.541723251
